,created,uuid,link,is_duplicate,duplicate_for,is_hard
0,2024-06-01 00:05:43,23fac2f2-7f00-48cb-b3ac-aac8caa3b6b4,https://s3.ritm.media/yappy-db-duplicates/23fac2f2-7f00-48cb-b3ac-aac8caa3b6b4.mp4,False,,False
7,2024-06-01 00:38:04,4182b2d2-4264-41dd-b101-4c1c66f4bdab,https://s3.ritm.media/yappy-db-duplicates/4182b2d2-4264-41dd-b101-4c1c66f4bdab.mp4,False,,False
10,2024-06-01 01:11:45,0d0558ec-e417-4255-b1cd-a8ed7f4892b9,https://s3.ritm.media/yappy-db-duplicates/0d0558ec-e417-4255-b1cd-a8ed7f4892b9.mp4,False,,False
17,2024-06-01 01:41:07,4b1acc2d-69aa-4161-9fc3-fb706ebc9d4a,https://s3.ritm.media/yappy-db-duplicates/4b1acc2d-69aa-4161-9fc3-fb706ebc9d4a.mp4,False,,False
20,2024-06-01 01:58:01,2da574f2-5ae7-4d85-9f5b-c2970a315c1c,https://s3.ritm.media/yappy-db-duplicates/2da574f2-5ae7-4d85-9f5b-c2970a315c1c.mp4,False,,False
21,2024-06-01 02:01:50,4fbeba57-89b7-4eb9-9491-65c77f103c44,https://s3.ritm.media/yappy-db-duplicates/4fbeba57-89b7-4eb9-9491-65c77f103c44.mp4,False,,False
26,2024-06-01 03:01:21,3739da22-e526-43b7-a5d5-673b905f0908,https://s3.ritm.media/yappy-db-duplicates/3739da22-e526-43b7-a5d5-673b905f0908.mp4,False,,False
27,2024-06-01 03:10:40,3a3d1958-5d8e-45b2-87d7-43374a3e632c,https://s3.ritm.media/yappy-db-duplicates/3a3d1958-5d8e-45b2-87d7-43374a3e632c.mp4,False,,False
31,2024-06-01 03:17:47,3bed5041-57bf-4a4f-975c-7a76bfb10d78,https://s3.ritm.media/yappy-db-duplicates/3bed5041-57bf-4a4f-975c-7a76bfb10d78.mp4,False,,False
39,2024-06-01 04:39:18,547c4ea6-f387-4639-ae1f-e1162bc923ac,https://s3.ritm.media/yappy-db-duplicates/547c4ea6-f387-4639-ae1f-e1162bc923ac.mp4,False,,False
42,2024-06-01 05:20:07,13a0e67e-16ba-4cbb-b78a-6e7e51109466,https://s3.ritm.media/yappy-db-duplicates/13a0e67e-16ba-4cbb-b78a-6e7e51109466.mp4,False,,False
45,2024-06-01 05:48:36,4f23c631-d497-4a5f-be44-d71a6283806d,https://s3.ritm.media/yappy-db-duplicates/4f23c631-d497-4a5f-be44-d71a6283806d.mp4,False,,False
47,2024-06-01 05:52:27,3a20cbaf-798a-4b25-b2c1-e41e1c6ecd09,https://s3.ritm.media/yappy-db-duplicates/3a20cbaf-798a-4b25-b2c1-e41e1c6ecd09.mp4,False,,False
48,2024-06-01 05:55:34,4de164d3-aca7-428d-b291-7aa6d2b35ce1,https://s3.ritm.media/yappy-db-duplicates/4de164d3-aca7-428d-b291-7aa6d2b35ce1.mp4,False,,False
54,2024-06-01 06:23:55,406b8550-33a5-4853-8227-e0cd1db9abfa,https://s3.ritm.media/yappy-db-duplicates/406b8550-33a5-4853-8227-e0cd1db9abfa.mp4,False,,False
55,2024-06-01 06:26:15,4d1894ec-b4be-470c-958b-bdc3bdb30be4,https://s3.ritm.media/yappy-db-duplicates/4d1894ec-b4be-470c-958b-bdc3bdb30be4.mp4,False,,False
59,2024-06-01 06:44:03,150d32c8-9f69-43d0-bc67-75cb32109cc4,https://s3.ritm.media/yappy-db-duplicates/150d32c8-9f69-43d0-bc67-75cb32109cc4.mp4,False,,False
61,2024-06-01 06:55:23,4a14964b-3ccf-4673-93fc-86c37a489333,https://s3.ritm.media/yappy-db-duplicates/4a14964b-3ccf-4673-93fc-86c37a489333.mp4,False,,False
65,2024-06-01 07:17:11,4268be9d-1654-4fd0-8dac-f16e065b50e5,https://s3.ritm.media/yappy-db-duplicates/4268be9d-1654-4fd0-8dac-f16e065b50e5.mp4,False,,False
68,2024-06-01 07:31:18,3f293c45-9d2e-4bab-99bc-a39e15b35779,https://s3.ritm.media/yappy-db-duplicates/3f293c45-9d2e-4bab-99bc-a39e15b35779.mp4,False,,False
72,2024-06-01 08:03:16,26102fc5-7500-412a-81ac-3fb2dbf75ca0,https://s3.ritm.media/yappy-db-duplicates/26102fc5-7500-412a-81ac-3fb2dbf75ca0.mp4,False,,False
73,2024-06-01 08:06:54,0fd09c1b-e19e-4b6e-84e6-35f9d4fc6f72,https://s3.ritm.media/yappy-db-duplicates/0fd09c1b-e19e-4b6e-84e6-35f9d4fc6f72.mp4,False,,False
75,2024-06-01 08:14:09,3726bb2d-3323-41f8-8eb2-0d7cf095d62b,https://s3.ritm.media/yappy-db-duplicates/3726bb2d-3323-41f8-8eb2-0d7cf095d62b.mp4,False,,False
77,2024-06-01 08:28:26,3dd424ce-f0e5-4727-88a3-8f318b612afd,https://s3.ritm.media/yappy-db-duplicates/3dd424ce-f0e5-4727-88a3-8f318b612afd.mp4,False,,True
79,2024-06-01 08:59:45,0e755861-6b31-4188-877d-27c6b365079e,https://s3.ritm.media/yappy-db-duplicates/0e755861-6b31-4188-877d-27c6b365079e.mp4,False,,False
96,2024-06-01 10:14:41,0500d470-4c40-4f24-be9c-b20547f509a1,https://s3.ritm.media/yappy-db-duplicates/0500d470-4c40-4f24-be9c-b20547f509a1.mp4,False,,False
97,2024-06-01 10:27:10,5eb4127e-5694-492b-963c-6688522e9ad2,https://s3.ritm.media/yappy-db-duplicates/5eb4127e-5694-492b-963c-6688522e9ad2.mp4,True,3726bb2d-3323-41f8-8eb2-0d7cf095d62b,False
98,2024-06-01 10:45:45,515cd5c6-5bcc-4d95-839d-ff1642a33c90,https://s3.ritm.media/yappy-db-duplicates/515cd5c6-5bcc-4d95-839d-ff1642a33c90.mp4,False,,False
102,2024-06-01 11:24:26,233b418a-f24c-4c4e-8b4e-bca85bb38f0a,https://s3.ritm.media/yappy-db-duplicates/233b418a-f24c-4c4e-8b4e-bca85bb38f0a.mp4,False,,False
103,2024-06-01 11:35:59,53e55ed6-e67f-435c-be85-337856a5ed46,https://s3.ritm.media/yappy-db-duplicates/53e55ed6-e67f-435c-be85-337856a5ed46.mp4,False,,False
108,2024-06-01 12:35:28,0fcb516d-d722-40f7-ac38-ec3f27e7cb91,https://s3.ritm.media/yappy-db-duplicates/0fcb516d-d722-40f7-ac38-ec3f27e7cb91.mp4,False,,False
117,2024-06-01 13:31:54,41262006-7306-4899-92bf-40c0ff238ee8,https://s3.ritm.media/yappy-db-duplicates/41262006-7306-4899-92bf-40c0ff238ee8.mp4,False,,False
118,2024-06-01 13:32:04,27f5efe6-cdd8-4dac-a5fa-a0890605a231,https://s3.ritm.media/yappy-db-duplicates/27f5efe6-cdd8-4dac-a5fa-a0890605a231.mp4,False,,False
125,2024-06-01 14:05:16,245ad1d6-cc96-4785-af1a-ebc569f2adf8,https://s3.ritm.media/yappy-db-duplicates/245ad1d6-cc96-4785-af1a-ebc569f2adf8.mp4,False,,False
126,2024-06-01 14:06:05,23a5a90e-bb78-43f1-9d1f-fd896d335b7a,https://s3.ritm.media/yappy-db-duplicates/23a5a90e-bb78-43f1-9d1f-fd896d335b7a.mp4,False,,False
130,2024-06-01 14:36:15,4fee3060-c282-41cc-ab92-67f41881951d,https://s3.ritm.media/yappy-db-duplicates/4fee3060-c282-41cc-ab92-67f41881951d.mp4,False,,False
132,2024-06-01 14:56:51,1454c25b-fe4c-4073-a73a-9fba3fb048c2,https://s3.ritm.media/yappy-db-duplicates/1454c25b-fe4c-4073-a73a-9fba3fb048c2.mp4,False,,False
133,2024-06-01 14:58:19,2925df14-c98c-47f5-a4cf-6b21d41be9b9,https://s3.ritm.media/yappy-db-duplicates/2925df14-c98c-47f5-a4cf-6b21d41be9b9.mp4,False,,False
135,2024-06-01 15:05:25,4a594a93-ca6a-402f-9cc3-d21562054ce9,https://s3.ritm.media/yappy-db-duplicates/4a594a93-ca6a-402f-9cc3-d21562054ce9.mp4,False,,False
136,2024-06-01 15:05:35,332c4888-63ad-4d07-aaf3-d75090fbd107,https://s3.ritm.media/yappy-db-duplicates/332c4888-63ad-4d07-aaf3-d75090fbd107.mp4,False,,False
138,2024-06-01 15:14:35,4ea21b94-6149-4d06-84c2-087f9a39c980,https://s3.ritm.media/yappy-db-duplicates/4ea21b94-6149-4d06-84c2-087f9a39c980.mp4,False,,False
141,2024-06-01 15:29:22,0bbd7910-df4c-495a-8cf2-5df6ea669aeb,https://s3.ritm.media/yappy-db-duplicates/0bbd7910-df4c-495a-8cf2-5df6ea669aeb.mp4,False,,False
142,2024-06-01 15:40:04,1d5155e6-fa5d-48ad-a155-2d136a7828b4,https://s3.ritm.media/yappy-db-duplicates/1d5155e6-fa5d-48ad-a155-2d136a7828b4.mp4,False,,False
143,2024-06-01 15:51:03,14a4c62d-2806-4e4d-91f6-db112bebb890,https://s3.ritm.media/yappy-db-duplicates/14a4c62d-2806-4e4d-91f6-db112bebb890.mp4,False,,False
144,2024-06-01 16:05:53,3070cf95-6d7a-44a1-bd00-749af8dfe2f9,https://s3.ritm.media/yappy-db-duplicates/3070cf95-6d7a-44a1-bd00-749af8dfe2f9.mp4,False,,False
150,2024-06-01 16:45:06,82eeda14-f824-4244-b423-f0d4db672d9a,https://s3.ritm.media/yappy-db-duplicates/82eeda14-f824-4244-b423-f0d4db672d9a.mp4,False,,False
152,2024-06-01 17:05:42,314d2988-eb85-4581-8416-da998e036afe,https://s3.ritm.media/yappy-db-duplicates/314d2988-eb85-4581-8416-da998e036afe.mp4,False,,False
155,2024-06-01 17:20:07,17c66ec7-78e0-4c58-9094-e25d94b250f3,https://s3.ritm.media/yappy-db-duplicates/17c66ec7-78e0-4c58-9094-e25d94b250f3.mp4,False,,False
163,2024-06-01 17:57:55,52c909ee-95c6-4175-8527-984627c0c89f,https://s3.ritm.media/yappy-db-duplicates/52c909ee-95c6-4175-8527-984627c0c89f.mp4,False,,False
170,2024-06-01 18:27:23,4fbd03e9-5b30-40e7-9c6d-e4f8658c7286,https://s3.ritm.media/yappy-db-duplicates/4fbd03e9-5b30-40e7-9c6d-e4f8658c7286.mp4,False,,False
178,2024-06-01 18:55:23,227ea74a-00a1-48d2-be75-303bd640e9ba,https://s3.ritm.media/yappy-db-duplicates/227ea74a-00a1-48d2-be75-303bd640e9ba.mp4,False,,False
